obs,period,date,year,month,height_live,epoch,locality,site,bar,station,treatment,strata,gear
74,16,1/30/2018,2018,1,60,3,BT,I,2,BTI2,control,N_NA,quadrat
75,18,12/7/2018,2018,12,78,3,BT,I,2,BTI2,control,N_NA,transect
76,16,1/30/2018,2018,1,25,3,BT,I,2,BTI2,control,N_NA,quadrat
77,16,1/30/2018,2018,1,10,3,BT,I,2,BTI2,control,N_NA,quadrat
78,16,1/30/2018,2018,1,66,3,BT,I,2,BTI2,control,N_NA,quadrat
79,16,1/30/2018,2018,1,20,3,BT,I,2,BTI2,control,N_NA,quadrat
80,16,1/30/2018,2018,1,64,3,BT,I,2,BTI2,control,N_NA,quadrat
81,16,1/30/2018,2018,1,15,3,BT,I,2,BTI2,control,N_NA,quadrat
82,16,1/30/2018,2018,1,32,3,BT,I,2,BTI2,control,N_NA,quadrat
83,16,1/30/2018,2018,1,55,3,BT,I,2,BTI2,control,N_NA,quadrat
84,16,1/30/2018,2018,1,13,3,BT,I,2,BTI2,control,N_NA,quadrat
85,16,1/30/2018,2018,1,22,3,BT,I,2,BTI2,control,N_NA,quadrat
86,18,12/7/2018,2018,12,22,3,BT,I,2,BTI2,control,N_NA,transect
87,16,1/30/2018,2018,1,25,3,BT,I,2,BTI2,control,N_NA,quadrat
88,16,1/30/2018,2018,1,0,3,BT,I,2,BTI2,control,N_NA,quadrat
89,16,1/30/2018,2018,1,17,3,BT,I,2,BTI2,control,N_NA,quadrat
90,18,12/7/2018,2018,12,40,3,BT,I,2,BTI2,control,N_NA,transect
91,16,1/30/2018,2018,1,30,3,BT,I,2,BTI2,control,N_NA,quadrat
92,18,12/7/2018,2018,12,16,3,BT,I,2,BTI2,control,N_NA,transect
93,16,1/30/2018,2018,1,70,3,BT,I,2,BTI2,control,N_NA,quadrat
94,18,12/7/2018,2018,12,22,3,BT,I,2,BTI2,control,N_NA,transect
95,16,1/30/2018,2018,1,59,3,BT,I,2,BTI2,control,N_NA,quadrat
96,16,1/30/2018,2018,1,27,3,BT,I,2,BTI2,control,N_NA,quadrat
97,16,1/30/2018,2018,1,21,3,BT,I,2,BTI2,control,N_NA,quadrat
98,16,1/30/2018,2018,1,35,3,BT,I,2,BTI2,control,N_NA,quadrat
99,18,12/7/2018,2018,12,96,3,BT,I,2,BTI2,control,N_NA,transect
100,18,12/7/2018,2018,12,15,3,BT,I,2,BTI2,control,N_NA,transect
101,16,1/30/2018,2018,1,82,3,BT,I,2,BTI2,control,N_NA,quadrat
102,16,1/30/2018,2018,1,66,3,BT,I,2,BTI2,control,N_NA,quadrat
103,16,1/30/2018,2018,1,24,3,BT,I,2,BTI2,control,N_NA,quadrat
104,16,1/30/2018,2018,1,0,3,BT,I,2,BTI2,control,N_NA,quadrat
105,16,1/30/2018,2018,1,69,3,BT,I,2,BTI2,control,N_NA,quadrat
106,16,1/30/2018,2018,1,43,3,BT,I,2,BTI2,control,N_NA,quadrat
107,16,1/30/2018,2018,1,19,3,BT,I,2,BTI2,control,N_NA,quadrat
108,16,1/30/2018,2018,1,27,3,BT,I,2,BTI2,control,N_NA,quadrat
109,18,12/7/2018,2018,12,20,3,BT,I,2,BTI2,control,N_NA,transect
110,18,12/7/2018,2018,12,26,3,BT,I,2,BTI2,control,N_NA,transect
111,18,12/7/2018,2018,12,16,3,BT,I,2,BTI2,control,N_NA,transect
112,16,1/30/2018,2018,1,42,3,BT,I,2,BTI2,control,N_NA,quadrat
113,18,12/7/2018,2018,12,21,3,BT,I,2,BTI2,control,N_NA,transect
114,16,1/30/2018,2018,1,53,3,BT,I,2,BTI2,control,N_NA,quadrat
115,16,1/30/2018,2018,1,51,3,BT,I,2,BTI2,control,N_NA,quadrat
116,18,12/7/2018,2018,12,23,3,BT,I,2,BTI2,control,N_NA,transect
117,16,1/30/2018,2018,1,109,3,BT,I,2,BTI2,control,N_NA,quadrat
118,16,1/30/2018,2018,1,74,3,BT,I,2,BTI2,control,N_NA,quadrat
119,16,1/30/2018,2018,1,53,3,BT,I,2,BTI2,control,N_NA,quadrat
120,16,1/30/2018,2018,1,42,3,BT,I,2,BTI2,control,N_NA,quadrat
121,16,1/30/2018,2018,1,44,3,BT,I,2,BTI2,control,N_NA,quadrat
122,18,12/7/2018,2018,12,26,3,BT,I,2,BTI2,control,N_NA,transect
123,16,1/30/2018,2018,1,35,3,BT,I,2,BTI2,control,N_NA,quadrat
124,16,1/30/2018,2018,1,36,3,BT,I,2,BTI2,control,N_NA,quadrat
125,16,1/30/2018,2018,1,19,3,BT,I,2,BTI2,control,N_NA,quadrat
126,18,12/7/2018,2018,12,22,3,BT,I,2,BTI2,control,N_NA,transect
127,16,1/30/2018,2018,1,35,3,BT,I,3,BTI3,control,N_NA,quadrat
128,16,1/30/2018,2018,1,46,3,BT,I,3,BTI3,control,N_NA,quadrat
129,18,12/7/2018,2018,12,12,3,BT,I,3,BTI3,control,N_NA,transect
130,16,1/30/2018,2018,1,15,3,BT,I,3,BTI3,control,N_NA,quadrat
131,16,1/30/2018,2018,1,70,3,BT,I,3,BTI3,control,N_NA,quadrat
132,16,1/30/2018,2018,1,67,3,BT,I,3,BTI3,control,N_NA,quadrat
133,16,1/30/2018,2018,1,52,3,BT,I,3,BTI3,control,N_NA,quadrat
134,18,12/7/2018,2018,12,14,3,BT,I,3,BTI3,control,N_NA,transect
135,18,12/7/2018,2018,12,34,3,BT,I,3,BTI3,control,N_NA,transect
136,16,1/30/2018,2018,1,64,3,BT,I,3,BTI3,control,N_NA,quadrat
137,16,1/30/2018,2018,1,20,3,BT,I,3,BTI3,control,N_NA,quadrat
138,16,1/30/2018,2018,1,67,3,BT,I,3,BTI3,control,N_NA,quadrat
139,18,12/7/2018,2018,12,20,3,BT,I,3,BTI3,control,N_NA,transect
140,18,12/7/2018,2018,12,21,3,BT,I,3,BTI3,control,N_NA,transect
141,18,12/7/2018,2018,12,29,3,BT,I,3,BTI3,control,N_NA,transect
142,16,1/30/2018,2018,1,35,3,BT,I,3,BTI3,control,N_NA,quadrat
143,18,12/7/2018,2018,12,14,3,BT,I,3,BTI3,control,N_NA,transect
144,16,1/30/2018,2018,1,80,3,BT,I,3,BTI3,control,N_NA,quadrat
145,16,1/30/2018,2018,1,43,3,BT,I,3,BTI3,control,N_NA,quadrat
146,16,1/30/2018,2018,1,42,3,BT,I,3,BTI3,control,N_NA,quadrat
147,18,12/7/2018,2018,12,31,3,BT,I,3,BTI3,control,N_NA,transect
148,18,12/7/2018,2018,12,12,3,BT,I,3,BTI3,control,N_NA,transect
149,16,1/30/2018,2018,1,20,3,BT,I,3,BTI3,control,N_NA,quadrat
150,16,1/30/2018,2018,1,15,3,BT,I,3,BTI3,control,N_NA,quadrat
151,16,1/30/2018,2018,1,54,3,BT,I,3,BTI3,control,N_NA,quadrat
152,16,1/30/2018,2018,1,55,3,BT,I,3,BTI3,control,N_NA,quadrat
153,16,1/30/2018,2018,1,69,3,BT,I,3,BTI3,control,N_NA,quadrat
154,16,1/30/2018,2018,1,18,3,BT,I,3,BTI3,control,N_NA,quadrat
155,18,12/7/2018,2018,12,28,3,BT,I,3,BTI3,control,N_NA,transect
156,16,1/30/2018,2018,1,0,3,BT,I,3,BTI3,control,N_NA,quadrat
157,16,1/30/2018,2018,1,52,3,BT,I,3,BTI3,control,N_NA,quadrat
158,16,1/30/2018,2018,1,16,3,BT,I,3,BTI3,control,N_NA,quadrat
159,16,1/30/2018,2018,1,61,3,BT,I,3,BTI3,control,N_NA,quadrat
160,16,1/30/2018,2018,1,23,3,BT,I,3,BTI3,control,N_NA,quadrat
161,16,1/30/2018,2018,1,75,3,BT,I,3,BTI3,control,N_NA,quadrat
162,16,1/30/2018,2018,1,15,3,BT,I,3,BTI3,control,N_NA,quadrat
163,18,12/7/2018,2018,12,25,3,BT,I,3,BTI3,control,N_NA,transect
164,16,1/30/2018,2018,1,44,3,BT,I,3,BTI3,control,N_NA,quadrat
165,16,1/30/2018,2018,1,54,3,BT,I,3,BTI3,control,N_NA,quadrat
166,16,1/30/2018,2018,1,19,3,BT,I,3,BTI3,control,N_NA,quadrat
167,16,1/30/2018,2018,1,31,3,BT,I,3,BTI3,control,N_NA,quadrat
168,16,1/30/2018,2018,1,42,3,BT,I,3,BTI3,control,N_NA,quadrat
169,16,1/30/2018,2018,1,37,3,BT,I,3,BTI3,control,N_NA,quadrat
170,16,1/30/2018,2018,1,0,3,BT,I,3,BTI3,control,N_NA,quadrat
171,16,1/30/2018,2018,1,18,3,BT,I,3,BTI3,control,N_NA,quadrat
172,18,12/7/2018,2018,12,16,3,BT,I,3,BTI3,control,N_NA,transect
173,18,12/7/2018,2018,12,16,3,BT,I,3,BTI3,control,N_NA,transect
174,16,1/30/2018,2018,1,24,3,BT,I,3,BTI3,control,N_NA,quadrat
175,18,12/7/2018,2018,12,25,3,BT,I,3,BTI3,control,N_NA,transect
176,16,1/30/2018,2018,1,22,3,BT,I,3,BTI3,control,N_NA,quadrat
177,16,1/30/2018,2018,1,62,3,BT,I,3,BTI3,control,N_NA,quadrat
178,16,1/30/2018,2018,1,89,3,BT,I,3,BTI3,control,N_NA,quadrat
179,16,1/30/2018,2018,1,42,3,BT,I,3,BTI3,control,N_NA,quadrat
180,16,1/30/2018,2018,1,79,3,BT,I,3,BTI3,control,N_NA,quadrat
181,16,1/30/2018,2018,1,44,3,BT,I,3,BTI3,control,N_NA,quadrat
182,16,1/30/2018,2018,1,26,3,BT,I,3,BTI3,control,N_NA,quadrat
183,16,1/30/2018,2018,1,72,3,BT,I,3,BTI3,control,N_NA,quadrat
184,16,1/30/2018,2018,1,21,3,BT,I,3,BTI3,control,N_NA,quadrat
185,16,1/30/2018,2018,1,40,3,BT,I,3,BTI3,control,N_NA,quadrat
186,18,12/7/2018,2018,12,23,3,BT,I,3,BTI3,control,N_NA,transect
187,18,12/7/2018,2018,12,16,3,BT,I,3,BTI3,control,N_NA,transect
188,16,1/30/2018,2018,1,22,3,BT,I,3,BTI3,control,N_NA,quadrat
189,18,12/7/2018,2018,12,27,3,BT,I,3,BTI3,control,N_NA,transect
190,16,1/30/2018,2018,1,50,3,BT,I,3,BTI3,control,N_NA,quadrat
191,18,12/7/2018,2018,12,24,3,BT,I,3,BTI3,control,N_NA,transect
192,16,1/30/2018,2018,1,70,3,BT,I,3,BTI3,control,N_NA,quadrat
193,18,12/7/2018,2018,12,22,3,BT,I,3,BTI3,control,N_NA,transect
194,18,12/7/2018,2018,12,16,3,BT,I,3,BTI3,control,N_NA,transect
195,16,1/30/2018,2018,1,41,3,BT,I,3,BTI3,control,N_NA,quadrat
196,16,1/30/2018,2018,1,29,3,BT,I,4,BTI4,control,N_NA,quadrat
197,16,1/30/2018,2018,1,23,3,BT,I,4,BTI4,control,N_NA,quadrat
198,16,1/30/2018,2018,1,60,3,BT,I,4,BTI4,control,N_NA,quadrat
199,18,12/8/2018,2018,12,16,3,BT,I,4,BTI4,control,N_NA,transect
200,16,1/30/2018,2018,1,60,3,BT,I,4,BTI4,control,N_NA,quadrat
201,16,1/30/2018,2018,1,71,3,BT,I,4,BTI4,control,N_NA,quadrat
202,16,1/30/2018,2018,1,45,3,BT,I,4,BTI4,control,N_NA,quadrat
203,16,1/30/2018,2018,1,0,3,BT,I,4,BTI4,control,N_NA,quadrat
204,16,1/30/2018,2018,1,31,3,BT,I,4,BTI4,control,N_NA,quadrat
205,16,1/30/2018,2018,1,52,3,BT,I,4,BTI4,control,N_NA,quadrat
206,16,1/30/2018,2018,1,49,3,BT,I,4,BTI4,control,N_NA,quadrat
207,18,12/8/2018,2018,12,31,3,BT,I,4,BTI4,control,N_NA,transect
208,16,1/30/2018,2018,1,43,3,BT,I,4,BTI4,control,N_NA,quadrat
209,16,1/30/2018,2018,1,28,3,BT,I,4,BTI4,control,N_NA,quadrat
210,16,1/30/2018,2018,1,0,3,BT,I,4,BTI4,control,N_NA,quadrat
211,16,1/30/2018,2018,1,46,3,BT,I,4,BTI4,control,N_NA,quadrat
212,16,1/30/2018,2018,1,23,3,BT,I,4,BTI4,control,N_NA,quadrat
213,16,1/30/2018,2018,1,62,3,BT,I,4,BTI4,control,N_NA,quadrat
214,18,12/8/2018,2018,12,16,3,BT,I,4,BTI4,control,N_NA,transect
215,16,1/30/2018,2018,1,59,3,BT,I,4,BTI4,control,N_NA,quadrat
216,16,1/30/2018,2018,1,52,3,BT,I,4,BTI4,control,N_NA,quadrat
217,16,1/30/2018,2018,1,0,3,BT,I,4,BTI4,control,N_NA,quadrat
218,16,1/30/2018,2018,1,64,3,BT,I,4,BTI4,control,N_NA,quadrat
219,16,1/30/2018,2018,1,35,3,BT,I,4,BTI4,control,N_NA,quadrat
220,16,1/30/2018,2018,1,55,3,BT,I,4,BTI4,control,N_NA,quadrat
221,18,12/8/2018,2018,12,19,3,BT,I,4,BTI4,control,N_NA,transect
222,16,1/30/2018,2018,1,29,3,BT,I,4,BTI4,control,N_NA,quadrat
223,16,1/30/2018,2018,1,45,3,BT,I,4,BTI4,control,N_NA,quadrat
224,16,1/30/2018,2018,1,28,3,BT,I,4,BTI4,control,N_NA,quadrat
225,16,1/30/2018,2018,1,15,3,BT,I,4,BTI4,control,N_NA,quadrat
226,16,1/30/2018,2018,1,65,3,BT,I,4,BTI4,control,N_NA,quadrat
227,16,1/30/2018,2018,1,54,3,BT,I,4,BTI4,control,N_NA,quadrat
228,16,1/30/2018,2018,1,74,3,BT,I,4,BTI4,control,N_NA,quadrat
229,18,12/8/2018,2018,12,18,3,BT,I,4,BTI4,control,N_NA,transect
230,16,1/30/2018,2018,1,35,3,BT,I,4,BTI4,control,N_NA,quadrat
231,16,1/30/2018,2018,1,15,3,BT,I,4,BTI4,control,N_NA,quadrat
232,16,1/30/2018,2018,1,44,3,BT,I,4,BTI4,control,N_NA,quadrat
233,16,1/30/2018,2018,1,62,3,BT,I,4,BTI4,control,N_NA,quadrat
234,18,12/8/2018,2018,12,30,3,BT,I,4,BTI4,control,N_NA,transect
235,18,12/8/2018,2018,12,33,3,BT,I,4,BTI4,control,N_NA,transect
236,18,12/8/2018,2018,12,21,3,BT,I,4,BTI4,control,N_NA,transect
237,16,1/30/2018,2018,1,28,3,BT,I,4,BTI4,control,N_NA,quadrat
238,16,1/30/2018,2018,1,28,3,BT,I,4,BTI4,control,N_NA,quadrat
239,18,12/8/2018,2018,12,62,3,BT,I,4,BTI4,control,N_NA,transect
240,16,1/30/2018,2018,1,51,3,BT,I,4,BTI4,control,N_NA,quadrat
241,16,1/30/2018,2018,1,39,3,BT,I,4,BTI4,control,N_NA,quadrat
242,16,1/30/2018,2018,1,63,3,BT,I,4,BTI4,control,N_NA,quadrat
243,16,1/30/2018,2018,1,76,3,BT,I,4,BTI4,control,N_NA,quadrat
244,16,1/30/2018,2018,1,91,3,BT,I,4,BTI4,control,N_NA,quadrat
245,16,1/30/2018,2018,1,35,3,BT,I,4,BTI4,control,N_NA,quadrat
246,18,12/8/2018,2018,12,32,3,BT,I,4,BTI4,control,N_NA,transect
247,18,12/8/2018,2018,12,32,3,BT,I,4,BTI4,control,N_NA,transect
248,18,12/8/2018,2018,12,19,3,BT,I,4,BTI4,control,N_NA,transect
249,16,1/30/2018,2018,1,22,3,BT,I,4,BTI4,control,N_NA,quadrat
250,18,12/8/2018,2018,12,66,3,BT,I,4,BTI4,control,N_NA,transect
251,16,1/30/2018,2018,1,42,3,BT,I,4,BTI4,control,N_NA,quadrat
252,18,12/8/2018,2018,12,16,3,BT,I,4,BTI4,control,N_NA,transect
253,16,1/30/2018,2018,1,48,3,BT,I,4,BTI4,control,N_NA,quadrat
254,16,1/30/2018,2018,1,54,3,BT,I,4,BTI4,control,N_NA,quadrat
255,18,12/8/2018,2018,12,22,3,BT,I,4,BTI4,control,N_NA,transect
256,16,1/30/2018,2018,1,8,3,BT,I,4,BTI4,control,N_NA,quadrat
257,18,12/8/2018,2018,12,25,3,BT,I,4,BTI4,control,N_NA,transect
258,16,1/30/2018,2018,1,74,3,BT,I,4,BTI4,control,N_NA,quadrat
259,16,1/30/2018,2018,1,62,3,BT,I,4,BTI4,control,N_NA,quadrat
260,16,1/30/2018,2018,1,58,3,BT,I,4,BTI4,control,N_NA,quadrat
261,16,1/30/2018,2018,1,55,3,BT,I,4,BTI4,control,N_NA,quadrat
262,16,1/30/2018,2018,1,36,3,BT,I,4,BTI4,control,N_NA,quadrat
263,18,12/8/2018,2018,12,44,3,BT,I,4,BTI4,control,N_NA,transect
264,16,1/30/2018,2018,1,77,3,BT,I,4,BTI4,control,N_NA,quadrat
265,18,12/8/2018,2018,12,24,3,BT,I,4,BTI4,control,N_NA,transect
266,18,12/8/2018,2018,12,29,3,BT,I,4,BTI4,control,N_NA,transect
267,18,12/8/2018,2018,12,24,3,BT,I,4,BTI4,control,N_NA,transect
268,18,12/22/2018,2018,12,24,3,BT,I,5,BTI5,control,N_NA,transect
269,18,12/22/2018,2018,12,34,3,BT,I,5,BTI5,control,N_NA,transect
270,18,12/22/2018,2018,12,24,3,BT,I,5,BTI5,control,N_NA,transect
271,18,12/22/2018,2018,12,26,3,BT,I,5,BTI5,control,N_NA,transect
272,18,12/22/2018,2018,12,23,3,BT,I,5,BTI5,control,N_NA,transect
273,18,12/22/2018,2018,12,28,3,BT,I,5,BTI5,control,N_NA,transect
274,18,12/22/2018,2018,12,27,3,BT,I,5,BTI5,control,N_NA,transect
275,18,12/22/2018,2018,12,34,3,BT,I,5,BTI5,control,N_NA,transect
276,18,12/22/2018,2018,12,22,3,BT,I,5,BTI5,control,N_NA,transect
277,18,12/22/2018,2018,12,14,3,BT,I,5,BTI5,control,N_NA,transect
278,18,12/22/2018,2018,12,20,3,BT,I,5,BTI5,control,N_NA,transect
279,18,12/22/2018,2018,12,14,3,BT,I,5,BTI5,control,N_NA,transect
280,18,12/22/2018,2018,12,22,3,BT,I,5,BTI5,control,N_NA,transect
281,18,12/22/2018,2018,12,30,3,BT,I,5,BTI5,control,N_NA,transect
282,18,12/22/2018,2018,12,28,3,BT,I,5,BTI5,control,N_NA,transect
283,18,12/22/2018,2018,12,14,3,BT,I,5,BTI5,control,N_NA,transect
284,18,12/22/2018,2018,12,27,3,BT,I,5,BTI5,control,N_NA,transect
285,18,12/22/2018,2018,12,17,3,BT,I,5,BTI5,control,N_NA,transect
286,18,12/22/2018,2018,12,30,3,BT,I,5,BTI5,control,N_NA,transect
287,18,12/22/2018,2018,12,31,3,BT,I,5,BTI5,control,N_NA,transect
288,18,1/5/2019,2019,1,31,3,BT,I,6,BTI6,control,N_NA,transect
289,18,1/5/2019,2019,1,37,3,BT,I,6,BTI6,control,N_NA,transect
290,18,1/5/2019,2019,1,24,3,BT,I,6,BTI6,control,N_NA,transect
291,18,1/5/2019,2019,1,34,3,BT,I,6,BTI6,control,N_NA,transect
292,18,1/5/2019,2019,1,39,3,BT,I,6,BTI6,control,N_NA,transect
293,18,1/5/2019,2019,1,80,3,BT,I,6,BTI6,control,N_NA,transect
294,18,1/5/2019,2019,1,15,3,BT,I,6,BTI6,control,N_NA,transect
295,18,1/5/2019,2019,1,22,3,BT,I,6,BTI6,control,N_NA,transect
296,18,1/5/2019,2019,1,31,3,BT,I,6,BTI6,control,N_NA,transect
297,18,1/5/2019,2019,1,13,3,BT,I,6,BTI6,control,N_NA,transect
298,1,7/9/2010,2010,7,39,1,CK,I,1,CKI1,control,Y_NA,quadrat
299,1,7/9/2010,2010,7,40.3,1,CK,I,1,CKI1,control,Y_NA,quadrat
300,1,7/9/2010,2010,7,41.5,1,CK,I,1,CKI1,control,Y_NA,quadrat
301,1,7/9/2010,2010,7,42.7,1,CK,I,1,CKI1,control,Y_NA,quadrat
302,1,7/9/2010,2010,7,42.7,1,CK,I,1,CKI1,control,Y_NA,quadrat
303,1,7/9/2010,2010,7,44.5,1,CK,I,1,CKI1,control,Y_NA,quadrat
304,1,7/9/2010,2010,7,45.1,1,CK,I,1,CKI1,control,Y_NA,quadrat
305,1,7/9/2010,2010,7,45.6,1,CK,I,1,CKI1,control,Y_NA,quadrat
306,1,7/9/2010,2010,7,51.8,1,CK,I,1,CKI1,control,Y_NA,quadrat
307,1,7/9/2010,2010,7,51.9,1,CK,I,1,CKI1,control,Y_NA,quadrat
308,1,7/9/2010,2010,7,56.4,1,CK,I,1,CKI1,control,Y_NA,quadrat
309,1,7/9/2010,2010,7,58.9,1,CK,I,1,CKI1,control,Y_NA,quadrat
310,1,7/9/2010,2010,7,59.1,1,CK,I,1,CKI1,control,Y_NA,quadrat
311,1,5/27/2010,2010,5,21.4,1,CK,I,1,CKI1,control,Y_NA,quadrat
312,1,5/27/2010,2010,5,22,1,CK,I,1,CKI1,control,Y_NA,quadrat
313,1,5/27/2010,2010,5,22.2,1,CK,I,1,CKI1,control,Y_NA,quadrat
314,1,5/27/2010,2010,5,23.2,1,CK,I,1,CKI1,control,Y_NA,quadrat
315,1,5/27/2010,2010,5,23.4,1,CK,I,1,CKI1,control,Y_NA,quadrat
316,1,5/27/2010,2010,5,24.5,1,CK,I,1,CKI1,control,Y_NA,quadrat
317,1,5/27/2010,2010,5,25.7,1,CK,I,1,CKI1,control,Y_NA,quadrat
318,1,5/27/2010,2010,5,25.9,1,CK,I,1,CKI1,control,Y_NA,quadrat
319,1,5/27/2010,2010,5,26,1,CK,I,1,CKI1,control,Y_NA,quadrat
